icd9_code,icd9_description
003.0,Salmonella gastroenteritis
003.1,Salmonella septicemia
003.8,Other specified salmonella infections
003.9,"Salmonella infection, unspecified"
004.1,Shigella flexneri
004.8,Other specified shigella infections
005.1,Botulism food poisoning
005.81,Food poisoning due to Vibrio vulnificus
005.9,"Food poisoning, unspecified"
007.1,Giardiasis
007.4,Cryptosporidiosis
008.04,Intestinal infection due to enterohemorrhagic E. coli
008.41,Intestinal infection due to staphylococcus
008.43,Intestinal infection due to campylobacter
008.45,Intestinal infection due to Clostridium difficile
008.47,Intestinal infection due to other gram-negative bacteria
008.5,"Bacterial enteritis, unspecified"
008.61,Enteritis due to rotavirus
008.62,Enteritis due to adenovirus
008.63,Enteritis due to norwalk virus
008.69,Enteritis due to other viral enteritis
008.8,"Intestinal infection due to other organism, not elsewhere classified"
009.0,"Infectious colitis, enteritis, and gastroenteritis"
009.1,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
009.2,Infectious diarrhea
009.3,Diarrhea of presumed infectious origin
010.85,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.23,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
011.36,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
011.64,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.86,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
011.90,"Pulmonary tuberculosis, unspecified, unspecified"
011.94,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
012.05,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
012.15,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
013.00,"Tuberculous meningitis, unspecified"
013.04,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
013.25,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
013.30,"Tuberculous abscess of brain, unspecified"
013.54,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
014.02,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)"
014.05,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
014.85,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
015.04,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
015.05,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
018.03,"Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
018.05,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
018.80,"Other specified miliary tuberculosis, unspecified"
018.90,"Miliary tuberculosis, unspecified, unspecified"
018.94,"Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
018.95,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
018.96,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
021.8,Other specified tularemia
023.9,"Brucellosis, unspecified"
027.0,Listeriosis
027.2,Pasteurellosis
027.9,Unspecified zoonotic bacterial disease
030.9,"Leprosy, unspecified"
031.0,Pulmonary diseases due to other mycobacteria
031.1,Cutaneous diseases due to other mycobacteria
031.2,Disseminated due to other mycobacteria
031.8,Other specified mycobacterial diseases
031.9,Unspecified diseases due to mycobacteria
032.85,Cutaneous diphtheria
032.89,Other specified diphtheria
032.9,"Diphtheria, unspecified"
033.8,Whooping cough due to other specified organism
034.0,Streptococcal sore throat
035,Erysipelas
036.0,Meningococcal meningitis
036.2,Meningococcemia
036.41,Meningococcal pericarditis
038.0,Streptococcal septicemia
038.10,"Staphylococcal septicemia, unspecified"
038.11,Methicillin susceptible Staphylococcus aureus septicemia
038.12,Methicillin resistant Staphylococcus aureus septicemia
038.19,Other staphylococcal septicemia
038.2,Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
038.3,Septicemia due to anaerobes
038.40,"Septicemia due to gram-negative organism, unspecified"
038.41,Septicemia due to hemophilus influenzae [H. influenzae]
038.42,Septicemia due to escherichia coli [E. coli]
038.43,Septicemia due to pseudomonas
038.44,Septicemia due to serratia
038.49,Other septicemia due to gram-negative organisms
038.8,Other specified septicemias
038.9,Unspecified septicemia
039.1,Pulmonary actinomycotic infection
039.2,Abdominal actinomycotic infection
039.8,Actinomycotic infection of other specified sites
040.0,Gas gangrene
040.82,Toxic shock syndrome
041.00,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified"
041.01,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A"
041.02,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
041.03,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C"
041.04,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
041.05,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G"
041.09,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
041.10,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
041.11,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
041.12,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
041.19,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
041.2,Pneumococcus infection in conditions classified elsewhere and of unspecified site
041.3,FriedlÃ¤nder's bacillus infection in conditions classified elsewhere and of unspecified site
041.4,Escherichia coli [e. coli] infection in conditions classified elsewhere and of unspecified site
041.49,Other and unspecified Escherichia coli [E. coli]
041.5,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
041.6,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
041.7,Pseudomonas infection in conditions classified elsewhere and of unspecified site
041.82,Bacteroides fragilis
041.83,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens"
041.84,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
041.85,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
041.86,Helicobacter pylori [H. pylori]
041.89,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
041.9,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
042,Human immunodeficiency virus [HIV] disease
045.90,"Acute poliomyelitis, unspecified, poliovirus, unspecified type"
046.3,Progressive multifocal leukoencephalopathy
046.71,Gerstmann-StrÃ¤ussler-Scheinker syndrome
047.0,Meningitis due to coxsackie virus
047.8,Other specified viral meningitis
047.9,Unspecified viral meningitis
048,Other enterovirus diseases of central nervous system
049.1,Meningitis due to adenovirus
049.8,Other specified non-arthropod-borne viral diseases of central nervous system
